# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDuration90PMs,1776231986115000000,1776232038701000000,0.0
Indexes.stubs.lookupDuration90PMs,1776231986115000000,1776232038701000000,0.0
Indexes.entries.lookupDurationAvgMs,1776231986115000000,1776232038701000000,0.0
Indexing.totalTimeIndexersSleptMs,1776231986115000000,1776232038701000000,1278
Indexing.writesQueuedMax,1776231986115000000,1776232038701000000,0
Indexes.entries.lookups,1776231986115000000,1776232038701000000,13
Indexing.cache.totalCacheAccesses,1776231986115000000,1776232038701000000,1001935
Indexing.writer_0.totalTimeSpentWritingMs,1776231986115000000,1776232038701000000,1302
Indexes.entries.lookupDuration90PMs,1776231986115000000,1776232038701000000,0.0
Indexes.entries.lookupDurationMaxMs,1776231986115000000,1776232038701000000,0.0
Indexing.cache.totalCacheEvicted,1776231986115000000,1776232038701000000,218985
Indexing.writer_2.totalTimeSpentWritingMs,1776231986115000000,1776232038701000000,654
Indexes.stubs.lookupDurationMaxMs,1776231986115000000,1776232038701000000,0.0
Indexes.stubs.lookupDurationAvgMs,1776231986115000000,1776232038701000000,0.0
Indexes.stubs.lookups,1776231986115000000,1776232038701000000,0
Indexing.cache.totalCacheMisses,1776231986115000000,1776232038701000000,218985
Indexes.allKeys.lookupDurationAvgMs,1776231986115000000,1776232038701000000,0.0
